front,back,Fdown,Bdown,code
0,32,,,
828,134,-19,,
589,97,-19,,
701,324,-19,,
701,570,-19,-20,
701,710,-19,-20,
701,728,-19,-20,
701,721,-19,-20,
701,723,-19,-20,
701,728,-19,-20,
701,727,-19,-20,
701,715,-19,-20,
701,698,-19,-20,
701,710,-19,-20,
701,722,-19,-20,
701,743,-19,-20,
701,766,-19,-20,
701,770,-19,-20,
701,770,-19,-20,
701,772,-19,-20,
701,780,-19,-20,
701,784,-19,-20,
701,784,-19,-20,
701,787,-19,-20,
701,789,-19,-20,
701,787,-19,-20,
701,789,-19,-20,
701,791,-19,-20,
701,790,-19,-20,
701,794,-19,-20,
701,799,-19,-20,
701,804,-19,-20,
701,805,-19,-20,
701,806,-19,-20,
701,806,-19,-20,
701,807,-19,-20,
701,807,-19,-20,
701,803,-19,-20,
701,800,-19,-20,
701,801,-19,-20,
701,796,-19,-20,
701,735,-19,-20,
701,602,-19,-20,
701,476,-19,-20,
701,295,-19,-20,
701,190,-19,-20,
400,128,-19,,
123,49,,,
53,53,,,
0,96,,,
0,120,,,
0,101,,,
0,21,,,
659,0,-19,,
727,0,-19,,
0,0,,,
827,0,-19,,
930,0,-19,,
920,0,-19,,
817,0,-19,,
815,0,-19,,
889,0,-19,,
870,0,-19,,
776,0,-19,,
0,0,,,
11,0,,,
7,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
214,0,,,
467,0,,,
467,522,,-20,
467,501,,-20,
467,399,,-20,
467,252,,-20,
865,1,-19,,
819,0,-19,,
911,0,-19,,
719,0,-19,,
656,0,-19,,
622,0,-19,,
104,0,,,
102,0,,,
60,0,,,
96,0,,,
186,0,,,
371,0,,,
847,0,-19,,
915,0,-19,,
941,0,-19,,
954,0,-19,,
958,0,-19,,
890,0,-19,,
956,0,-19,,
864,0,-19,,
888,0,-19,,
0,0,,,
362,0,,,
268,0,,,
100,334,,,
100,627,,-20,
100,483,,-20,
100,299,,-20,
100,274,,-20,
100,156,,-20,
4,117,,,
0,113,,,
112,123,,,
207,106,,,
183,37,,,
103,0,,,
151,0,,,
86,0,,,
49,3,,,
50,30,,,
0,198,,,
0,282,,,
0,134,,,
0,242,,,
0,364,,,
0,430,,,
0,496,,-20,
0,434,,-20,
0,460,,-20,
0,544,,-20,
0,583,,-20,
0,699,,-20,
0,707,,-20,
0,754,,-20,
0,759,,-20,
0,757,,-20,
0,760,,-20,
0,769,,-20,
0,779,,-20,
0,795,,-20,
0,813,,-20,
0,815,,-20,
0,808,,-20,
0,761,,-20,
0,670,,-20,
0,511,,-20,
0,331,,-20,
0,329,,-20,
0,333,,-20,
0,344,,-20,
0,363,,-20,
0,369,,-20,
0,387,,-20,
0,381,,-20,
0,321,,-20,
0,195,,-20,
790,0,-19,,
942,0,-19,,
949,0,-19,,
955,0,-19,,
961,0,-19,,
964,0,-19,,
815,0,-19,,
851,0,-19,,
955,0,-19,,
15,0,,,
823,0,-19,,
812,0,-19,,
825,0,-19,,
817,0,-19,,
898,0,-19,,
752,0,-19,,
706,0,-19,,
485,0,-19,,
0,0,,,
0,0,,,
17,0,,,
33,0,,,
0,0,,,
0,0,,,
0,0,,,
0,0,,,
794,0,-19,,
788,0,-19,,
776,121,-19,,
776,621,-19,-20,
776,709,-19,-20,
776,771,-19,-20,
776,809,-19,-20,
776,829,-19,-20,
776,835,-19,-20,
776,839,-19,-20,
776,848,-19,-20,
776,862,-19,-20,
776,871,-19,-20,
776,869,-19,-20,
776,863,-19,-20,
776,855,-19,-20,
776,841,-19,-20,
776,818,-19,-20,
776,794,-19,-20,
776,784,-19,-20,
776,770,-19,-20,
776,712,-19,-20,
776,617,-19,-20,
776,519,-19,-20,
776,455,-19,-20,
776,434,-19,-20,
776,409,-19,-20,
776,366,-19,-20,
776,243,-19,-20,
413,115,-19,,
363,20,-19,,
371,13,-19,,
441,11,-19,,
357,13,-19,,
369,0,-19,,
0,0,,,
0,0,,,
775,0,-19,,
653,0,-19,,
691,0,-19,,
481,0,-19,,
313,0,-19,,
254,282,-19,,
254,696,-19,-20,
254,714,-19,-20,
